"survive","param.index","mutant.effect","drug.outsideConcentration.MULT","efflux.binom.param","extinction.time","extinction.time.sd","num.reps","cell.type"
0.94,"175",50,0.9,0.7,45.5272730382901,32.6926420859223,1000,"REG-ON"
0.973,"176",200,0.9,0.7,22.521795053445,15.4379018282146,1000,"REG-ON"
0.015,"177",2,1,0.7,231.858354279264,226.627417018186,1000,"REG-ON"
0.54,"178",10,1,0.7,162.190153916975,155.585702176558,1000,"REG-ON"
0.929,"179",50,1,0.7,53.8034315957142,38.845861484937,1000,"REG-ON"
0.954,"180",200,1,0.7,42.9950475940192,38.3847989700869,1000,"REG-ON"
0,"181",2,1.1,0.7,144.689832364473,127.885497260794,1000,"REG-ON"
0.194,"182",10,1.1,0.7,249.288682484597,244.473158044089,1000,"REG-ON"
0.872,"183",50,1.1,0.7,85.4224488261925,81.4862351512568,1000,"REG-ON"
0.928,"184",200,1.1,0.7,45.2528442685271,35.3812799730759,1000,"REG-ON"
0,"185",2,1.2,0.7,114.616274488746,83.9104938576975,1000,"REG-ON"
0.017,"186",10,1.2,0.7,203.965908496195,199.325058981634,1000,"REG-ON"
0.804,"187",50,1.2,0.7,100.949874312367,86.039460863135,1000,"REG-ON"
0.926,"188",200,1.2,0.7,58.2468720250517,45.9619865367354,1000,"REG-ON"
0,"189",2,1.3,0.7,94.316672155312,65.6678062121508,1000,"REG-ON"
0.001,"190",10,1.3,0.7,154.078026074942,136.928817387889,1000,"REG-ON"
0.654,"191",50,1.3,0.7,149.585410756761,135.747572132937,1000,"REG-ON"
0.887,"192",200,1.3,0.7,79.1900867970066,81.8731350416695,1000,"REG-ON"
0,"193",2,1.4,0.7,78.1822989482926,47.6892707672024,1000,"REG-ON"
0.001,"194",10,1.4,0.7,120.360844285064,91.3539874622869,1000,"REG-ON"
0.436,"195",50,1.4,0.7,198.124593382612,187.550391537872,1000,"REG-ON"
0.832,"196",200,1.4,0.7,90.4109239822945,77.4812329629081,1000,"REG-ON"
0,"197",2,1.5,0.7,71.6512423631635,45.472413802789,1000,"REG-ON"
0,"198",10,1.5,0.7,102.777471536643,78.7838171991389,1000,"REG-ON"
0.216,"199",50,1.5,0.7,274.254297501941,267.548706762926,1000,"REG-ON"
0.752,"200",200,1.5,0.7,113.551551079951,103.994183353339,1000,"REG-ON"
0,"201",2,1.75,0.7,55.8208981507094,32.3224228925146,1000,"REG-ON"
0,"202",10,1.75,0.7,73.8961532616974,48.7889642137604,1000,"REG-ON"
0.002,"203",50,1.75,0.7,171.090324790162,148.623953881687,1000,"REG-ON"
0.325,"204",200,1.75,0.7,257.606189295903,241.159663627686,1000,"REG-ON"
0,"205",2,2,0.7,46.3964453292601,26.9223935029145,1000,"REG-ON"
0,"206",10,2,0.7,60.3205228737675,38.4711029400857,1000,"REG-ON"
0,"207",50,2,0.7,108.03998664,78.5275755582963,1000,"REG-ON"
0.008,"208",200,2,0.7,218.959833473668,208.928480131637,1000,"REG-ON"
0,"209",2,2.25,0.7,42.808377058205,22.9790306609532,1000,"REG-ON"
0,"210",10,2.25,0.7,53.3612632660809,30.9078882152783,1000,"REG-ON"
0,"211",50,2.25,0.7,83.2744290191767,59.6681213646267,1000,"REG-ON"
0,"212",200,2.25,0.7,138.604596273927,109.265077766136,1000,"REG-ON"
0,"213",2,2.5,0.7,37.2135316478117,19.8571532258601,1000,"REG-ON"
0,"214",10,2.5,0.7,46.9729764516333,26.8302774627871,1000,"REG-ON"
0,"215",50,2.5,0.7,69.0095359392597,45.8270546528843,1000,"REG-ON"
0,"216",200,2.5,0.7,104.034835793053,76.6039526050723,1000,"REG-ON"
0,"217",2,2.75,0.7,33.8429622967199,17.5475466301843,1000,"REG-ON"
0,"218",10,2.75,0.7,41.5759778830936,24.141254165456,1000,"REG-ON"
